pathway	pval	padj	log2err	ES	NES	size	leadingEdge	timepoint	confidence_levels
YY1_1	0.3426724137931034	0.4840247844827586	0.10512513159700079	-0.3375738041245069	-1.065496813955681	42	PAK4;LSS;COQ9;HSF1;RNF40	1	A
E2F4_-1	0.36400817995910023	0.504234065209675	0.09821233512174378	-0.44833891502608214	-1.0592792971835598	13	LUC7L;PLK1;MCM10;TTK;RAD51;IKBKG	1	A
NR2F2_1	0.3659043659043659	0.504234065209675	0.09889030075206362	0.5584981719321271	1.095539527076444	7	MYH6;ACTA1;APOB;PENK;TF;PPARA;CETP	1	A
STAT5A_1	0.3766478342749529	0.5127856056996347	0.09139243259437684	0.4350375056817448	1.0344226468912832	17	IL6ST;BCL6;PIM1;ESR1;IRF1	1	A
GATA2_1	0.3814814814814815	0.5131834215167549	0.08971046527429813	0.40180213264422515	1.0133989483833745	24	PPP1R15A;ARRDC4;MYC;HMGB1;AR;PSD4	1	A
MYCN_1	0.4207436399217221	0.5593415448371128	0.08730982576379309	0.4538750247957029	1.0132187009989782	12	NES;MCM6;MDM2	1	A
FOSL2_1	0.46443514644351463	0.6102461807920598	0.08553569479878835	0.5245247933239221	0.9966205192676825	6	BCL6;BRCA1;CCR4	1	A
PPARA_1	0.47701149425287354	0.6195666534548817	0.07934349601349727	0.4087896078763243	0.9554882268498947	16	MYC;HMGCS1;CD36;FABP3;ACOX1	1	A
CTCF_-1	0.4882032667876588	0.6212190901723722	0.07530937641727728	0.3814390173966735	0.9391187006781615	21	NT5C3A;MYC;BCL6;ACTR3;ALDH1A3;TERT;COMMD2	1	A
RFX5_1	0.48927875243664715	0.6212190901723722	0.07892096381800347	-0.4687241911898274	-0.9922277428993016	8	CD74;HLA-DMB;HLA-DOA;HLA-DMA;HLA-DPB1	1	A
ETS1_-1	0.5104602510460251	0.6409112040911203	0.08041999687615399	0.5019474108023794	0.9537224847444042	6	MDM2;TERT;BAX	1	A
NR5A1_1	0.5273833671399595	0.6548826427122574	0.07707367349441024	-0.4364949819997662	-0.9401390702958313	9	AMH	1	A
PAX8_1	0.5541922290388548	0.6733733535633397	0.07492788183937392	0.45146959711488227	0.9117197161522955	8	E2F1;TERT;BCL2;GATA3	1	A
USF2_1	0.5488721804511278	0.6733733535633397	0.07113273993278939	0.34111609600962395	0.875768905291576	30	FMR1;B2M;CXCR4;ABCA1;ATP5F1A;TERT;P4HA1;APC;MYH9;IGF2R	1	A
RUNX1_1	0.5711252653927813	0.6865654786104711	0.07530937641727728	-0.36479237872059833	-0.922955472925796	17	PIK3CD;RORC;HIVEP3	1	A
EPAS1_1	0.5930902111324377	0.7054651985048995	0.06831108583186465	0.39473335669436593	0.8717205493525768	11	BHLHE40;VEGFA;TERT;EGLN3;PDGFB	1	A
TFAP2C_1	0.6295585412667947	0.7410428662827895	0.06538341954687732	0.37791228951029376	0.8345732708727662	11	MYC;ESR1;MMP2;FOXC1;CRABP2	1	A
CDX2_1	0.6525911708253359	0.7602350752913708	0.06364240816510186	0.37033275185811265	0.8178347849709687	11	LCT;DSC2;MUC2;REG4	1	A
TAL1_1	0.6609195402298851	0.7620806943467042	0.06293946920189672	0.3564960135441842	0.8332593033124328	16	PPP3CA;PLEKHO1;CDH23;ELMO1;SSH2	1	A
GATA2_-1	0.6897233201581028	0.7872599512915719	0.06238614928936257	0.37060915894398505	0.7971809161336441	10	PNPLA8	1	A
WT1_-1	0.700952380952381	0.7920761904761905	0.05986031177644726	0.33841311776022676	0.7849130771356956	15	MYC;EGFR;AR;TERT;PDGFA;CDH1	1	A
NFKB1_-1	0.719758064516129	0.8052738741616098	0.06130260753962072	-0.3628670407975594	-0.8065574184300042	10	FN1;TIMP1;CYP19A1;AKT1	1	A
FOSL1_1	0.7332053742802304	0.8122765420947651	0.05809835768732064	-0.38398504004408884	-0.785434216827299	7	CLU	1	A
HNF1A_1	0.754601226993865	0.8159217621789597	0.05973179763644106	0.3716480408767322	0.7505241737251891	8	HNF4A;G6PC	1	A
